,neg,neu,pos,compound
233,0.0,0.477,0.523,0.9211
234,0.0,0.826,0.174,0.2263
235,0.0,1.0,0.0,0.0
236,0.0,0.612,0.388,0.5859
237,0.076,0.806,0.118,0.2263
238,0.0,0.838,0.162,0.5697
239,0.0,1.0,0.0,0.0
240,0.0,1.0,0.0,0.0
241,0.167,0.617,0.216,0.1604
242,0.0,0.729,0.271,0.6369
243,0.136,0.735,0.13,-0.0276
244,0.111,0.889,0.0,-0.128
245,0.0,1.0,0.0,0.0
246,0.0,1.0,0.0,0.0
247,0.245,0.755,0.0,-0.0772
248,0.0,1.0,0.0,0.0
249,0.0,1.0,0.0,0.0
250,0.0,1.0,0.0,0.0
251,0.0,1.0,0.0,0.0
252,0.0,1.0,0.0,0.0
253,0.0,0.643,0.357,0.9022
254,0.0,0.853,0.147,0.4767
255,0.0,1.0,0.0,0.0
256,0.0,0.678,0.322,0.5859
257,0.0,1.0,0.0,0.0
258,0.0,1.0,0.0,0.0
259,0.0,1.0,0.0,0.0
260,0.0,0.758,0.242,0.4926
261,0.0,1.0,0.0,0.0
262,0.0,0.423,0.577,0.6249
263,0.0,0.593,0.407,0.6696
264,0.0,0.635,0.365,0.3182
265,0.0,0.625,0.375,0.6597
266,0.0,0.722,0.278,0.6989
267,0.208,0.792,0.0,-0.6369
268,0.161,0.766,0.073,-0.34
269,0.0,0.92,0.08,0.1655
270,0.0,1.0,0.0,0.0
271,0.36,0.387,0.253,-0.4129
272,0.0,1.0,0.0,0.0
273,0.0,0.676,0.324,0.7717
274,0.0,0.792,0.208,0.2732
275,0.0,0.786,0.214,0.4588
276,0.0,1.0,0.0,0.0
277,0.0,0.507,0.493,0.7783
278,0.0,1.0,0.0,0.0
279,0.0,1.0,0.0,0.0
280,0.0,0.933,0.067,0.0772
281,0.159,0.682,0.159,0.0031
282,0.0,0.913,0.087,0.2263
283,0.0,0.799,0.201,0.6474
284,0.0,0.239,0.761,0.4926
285,0.0,0.858,0.142,0.2481
286,0.0,0.608,0.392,0.8834
287,0.154,0.549,0.297,0.3182
288,0.0,0.802,0.198,0.5707
289,0.0,1.0,0.0,0.0
290,0.0,0.715,0.285,0.75
291,0.0,1.0,0.0,0.0
292,0.363,0.493,0.144,-0.7351
293,0.0,0.661,0.339,0.6249
294,0.0,1.0,0.0,0.0
295,0.0,0.839,0.161,0.3182
296,0.318,0.682,0.0,-0.7603
297,0.0,0.632,0.368,0.8519
298,0.189,0.597,0.214,0.128
299,0.297,0.703,0.0,-0.6705
300,0.0,1.0,0.0,0.0
301,0.0,1.0,0.0,0.0
302,0.179,0.621,0.2,0.0772
303,0.0,0.719,0.281,0.5994
304,0.0,0.615,0.385,0.7832
305,0.0,0.641,0.359,0.8777
306,0.306,0.694,0.0,-0.296
307,0.0,1.0,0.0,0.0
308,0.0,1.0,0.0,0.0
309,0.0,1.0,0.0,0.0
310,0.0,0.128,0.872,0.7777
